,Date,Open,High,Low,Close*,Adj Close**,Volume
19,"May 28, 2021","4,210.77","4,218.36","4,203.57","4,204.11","4,204.11","4,649,250,000"
20,"May 27, 2021","4,201.94","4,213.38","4,197.78","4,200.88","4,200.88","6,406,310,000"
21,"May 26, 2021","4,191.59","4,202.61","4,184.11","4,195.99","4,195.99","4,420,890,000"
22,"May 25, 2021","4,205.94","4,213.42","4,182.52","4,188.13","4,188.13","4,182,250,000"
23,"May 24, 2021","4,170.16","4,209.52","4,170.16","4,197.05","4,197.05","3,684,800,000"
24,"May 21, 2021","4,168.61","4,188.72","4,151.72","4,155.86","4,155.86","3,995,250,000"
25,"May 20, 2021","4,121.97","4,172.80","4,121.97","4,159.12","4,159.12","3,978,880,000"
26,"May 19, 2021","4,098.45","4,116.93","4,061.41","4,115.68","4,115.68","4,247,450,000"
27,"May 18, 2021","4,165.94","4,169.15","4,125.99","4,127.83","4,127.83","4,398,150,000"
28,"May 17, 2021","4,169.92","4,171.92","4,142.69","4,163.29","4,163.29","4,125,050,000"
29,"May 14, 2021","4,129.58","4,183.13","4,129.58","4,173.85","4,173.85","4,008,880,000"
30,"May 13, 2021","4,074.99","4,131.58","4,074.99","4,112.50","4,112.50","4,779,540,000"
31,"May 12, 2021","4,130.55","4,134.73","4,056.88","4,063.04","4,063.04","4,733,070,000"
32,"May 11, 2021","4,150.34","4,162.04","4,111.53","4,152.10","4,152.10","4,870,710,000"
33,"May 10, 2021","4,228.29","4,236.39","4,188.13","4,188.43","4,188.43","4,560,700,000"
34,"May 07, 2021","4,210.34","4,238.04","4,201.64","4,232.60","4,232.60","4,016,080,000"
35,"May 06, 2021","4,169.14","4,202.70","4,147.33","4,201.62","4,201.62","4,511,000,000"
36,"May 05, 2021","4,177.06","4,187.72","4,160.94","4,167.59","4,167.59","4,230,920,000"
37,"May 04, 2021","4,179.04","4,179.04","4,128.59","4,164.66","4,164.66","4,452,460,000"
38,"May 03, 2021","4,191.98","4,209.39","4,188.03","4,192.66","4,192.66","4,070,220,000"
39,"Apr 30, 2021","4,198.10","4,198.10","4,174.85","4,181.17","4,181.17","4,300,880,000"
40,"Apr 29, 2021","4,206.14","4,218.78","4,176.81","4,211.47","4,211.47","4,298,680,000"
41,"Apr 28, 2021","4,185.14","4,201.53","4,181.78","4,183.18","4,183.18","3,787,360,000"
42,"Apr 27, 2021","4,188.25","4,193.35","4,176.22","4,186.72","4,186.72","3,710,700,000"
43,"Apr 26, 2021","4,185.03","4,194.19","4,182.36","4,187.62","4,187.62","3,748,320,000"
44,"Apr 23, 2021","4,138.78","4,194.17","4,138.78","4,180.17","4,180.17","3,569,880,000"
45,"Apr 22, 2021","4,170.46","4,179.57","4,123.69","4,134.98","4,134.98","4,245,140,000"
46,"Apr 21, 2021","4,128.42","4,175.02","4,126.35","4,173.42","4,173.42","3,887,250,000"
47,"Apr 20, 2021","4,159.18","4,159.18","4,118.38","4,134.94","4,134.94","4,342,650,000"
48,"Apr 19, 2021","4,179.80","4,180.81","4,150.47","4,163.26","4,163.26","3,810,290,000"
49,"Apr 16, 2021","4,174.14","4,191.31","4,170.75","4,185.47","4,185.47","4,163,820,000"
50,"Apr 15, 2021","4,139.76","4,173.49","4,139.76","4,170.42","4,170.42","4,033,420,000"
51,"Apr 14, 2021","4,141.58","4,151.69","4,120.87","4,124.66","4,124.66","3,985,350,000"
52,"Apr 13, 2021","4,130.10","4,148.00","4,124.43","4,141.59","4,141.59","3,734,720,000"
53,"Apr 12, 2021","4,124.71","4,131.76","4,114.82","4,127.99","4,127.99","3,588,900,000"
54,"Apr 09, 2021","4,096.11","4,129.48","4,095.51","4,128.80","4,128.80","3,640,390,000"
55,"Apr 08, 2021","4,089.95","4,098.19","4,082.54","4,097.17","4,097.17","3,907,100,000"
56,"Apr 07, 2021","4,074.29","4,083.13","4,068.31","4,079.95","4,079.95","4,120,810,000"
57,"Apr 06, 2021","4,075.57","4,086.23","4,068.14","4,073.94","4,073.94","4,081,270,000"
58,"Apr 05, 2021","4,034.44","4,083.42","4,034.44","4,077.91","4,077.91","4,005,030,000"
59,"Apr 01, 2021","3,992.78","4,020.63","3,992.78","4,019.87","4,019.87","4,162,130,000"
60,"Mar 31, 2021","3,967.25","3,994.41","3,966.98","3,972.89","3,972.89","4,578,050,000"
61,"Mar 30, 2021","3,963.34","3,968.01","3,944.35","3,958.55","3,958.55","4,121,510,000"
62,"Mar 29, 2021","3,969.31","3,981.83","3,943.25","3,971.09","3,971.09","4,628,180,000"
63,"Mar 26, 2021","3,917.12","3,978.19","3,917.12","3,974.54","3,974.54","5,483,160,000"
64,"Mar 25, 2021","3,879.34","3,919.54","3,853.50","3,909.52","3,909.52","4,948,340,000"
65,"Mar 24, 2021","3,919.93","3,942.08","3,889.07","3,889.14","3,889.14","4,783,020,000"
66,"Mar 23, 2021","3,937.60","3,949.13","3,901.57","3,910.52","3,910.52","4,669,010,000"
67,"Mar 22, 2021","3,916.48","3,955.31","3,914.16","3,940.59","3,940.59","4,316,260,000"
68,"Mar 19, 2021","3,913.14","3,930.12","3,886.75","3,913.10","3,913.10","7,757,420,000"
69,"Mar 18, 2021","3,953.50","3,969.62","3,910.86","3,915.46","3,915.46","5,118,590,000"
70,"Mar 17, 2021","3,949.57","3,983.87","3,935.74","3,974.12","3,974.12","4,561,660,000"
71,"Mar 16, 2021","3,973.59","3,981.04","3,953.44","3,962.71","3,962.71","4,613,080,000"
72,"Mar 15, 2021","3,942.96","3,970.08","3,923.54","3,968.94","3,968.94","4,900,100,000"
73,"Mar 12, 2021","3,924.52","3,944.99","3,915.21","3,943.34","3,943.34","4,476,280,000"
74,"Mar 11, 2021","3,915.54","3,960.27","3,915.54","3,939.34","3,939.34","5,312,880,000"
75,"Mar 10, 2021","3,891.99","3,917.35","3,885.73","3,898.81","3,898.81","5,847,380,000"
76,"Mar 09, 2021","3,851.93","3,903.76","3,851.93","3,875.44","3,875.44","5,513,560,000"
77,"Mar 08, 2021","3,844.39","3,881.06","3,819.25","3,821.35","3,821.35","5,871,710,000"
78,"Mar 05, 2021","3,793.58","3,851.69","3,730.19","3,841.94","3,841.94","6,851,070,000"
79,"Mar 04, 2021","3,818.53","3,843.67","3,723.34","3,768.47","3,768.47","7,195,400,000"
80,"Mar 03, 2021","3,863.99","3,874.47","3,818.86","3,819.72","3,819.72","6,173,660,000"
81,"Mar 02, 2021","3,903.64","3,906.41","3,868.57","3,870.29","3,870.29","5,536,010,000"
82,"Mar 01, 2021","3,842.51","3,914.50","3,842.51","3,901.82","3,901.82","5,114,820,000"
83,"Feb 26, 2021","3,839.66","3,861.08","3,789.54","3,811.15","3,811.15","6,526,070,000"
84,"Feb 25, 2021","3,915.80","3,925.02","3,814.04","3,829.34","3,829.34","6,547,470,000"
85,"Feb 24, 2021","3,873.71","3,928.65","3,859.60","3,925.43","3,925.43","6,012,790,000"
86,"Feb 23, 2021","3,857.07","3,895.98","3,805.59","3,881.37","3,881.37","6,296,610,000"
87,"Feb 22, 2021","3,885.55","3,902.92","3,874.71","3,876.50","3,876.50","5,917,100,000"
88,"Feb 19, 2021","3,921.16","3,930.41","3,903.07","3,906.71","3,906.71","4,845,320,000"
89,"Feb 18, 2021","3,915.86","3,921.98","3,885.03","3,913.97","3,913.97","4,793,650,000"
90,"Feb 17, 2021","3,918.50","3,933.61","3,900.43","3,931.33","3,931.33","4,730,650,000"
91,"Feb 16, 2021","3,939.61","3,950.43","3,923.85","3,932.59","3,932.59","5,058,990,000"
92,"Feb 12, 2021","3,911.65","3,937.23","3,905.78","3,934.83","3,934.83","4,135,060,000"
93,"Feb 11, 2021","3,916.40","3,925.99","3,890.39","3,916.38","3,916.38","4,590,960,000"
94,"Feb 10, 2021","3,920.78","3,931.50","3,884.94","3,909.88","3,909.88","4,837,070,000"
95,"Feb 09, 2021","3,910.49","3,918.35","3,902.64","3,911.23","3,911.23","4,568,320,000"
96,"Feb 08, 2021","3,892.59","3,915.77","3,892.59","3,915.59","3,915.59","4,648,360,000"
97,"Feb 05, 2021","3,878.30","3,894.56","3,874.93","3,886.83","3,886.83","4,879,470,000"
98,"Feb 04, 2021","3,836.66","3,872.42","3,836.66","3,871.74","3,871.74","4,879,240,000"
99,"Feb 03, 2021","3,840.27","3,847.51","3,816.68","3,830.17","3,830.17","4,864,870,000"
100,"Feb 02, 2021","3,791.84","3,843.09","3,791.84","3,826.31","3,826.31","5,514,090,000"
101,"Feb 01, 2021","3,731.17","3,784.32","3,725.62","3,773.86","3,773.86","5,436,230,000"
102,"Jan 29, 2021","3,778.05","3,778.05","3,694.12","3,714.24","3,714.24","6,643,370,000"
103,"Jan 28, 2021","3,755.75","3,830.50","3,755.75","3,787.38","3,787.38","6,992,770,000"
104,"Jan 27, 2021","3,836.83","3,836.83","3,732.48","3,750.77","3,750.77","9,976,520,000"
105,"Jan 26, 2021","3,862.96","3,870.90","3,847.78","3,849.62","3,849.62","6,137,500,000"
106,"Jan 25, 2021","3,851.68","3,859.23","3,797.16","3,855.36","3,855.36","7,000,840,000"
107,"Jan 22, 2021","3,844.24","3,852.31","3,830.41","3,841.47","3,841.47","5,110,890,000"
108,"Jan 21, 2021","3,857.46","3,861.45","3,845.05","3,853.07","3,853.07","4,501,760,000"
109,"Jan 20, 2021","3,816.22","3,859.75","3,816.22","3,851.85","3,851.85","4,566,190,000"
110,"Jan 19, 2021","3,781.88","3,804.53","3,780.37","3,798.91","3,798.91","5,014,440,000"
111,"Jan 15, 2021","3,788.73","3,788.73","3,749.62","3,768.25","3,768.25","5,369,820,000"
112,"Jan 14, 2021","3,814.98","3,823.60","3,792.86","3,795.54","3,795.54","5,198,480,000"
113,"Jan 13, 2021","3,802.23","3,820.96","3,791.50","3,809.84","3,809.84","4,602,510,000"
114,"Jan 12, 2021","3,801.62","3,810.78","3,776.51","3,801.19","3,801.19","4,994,950,000"
115,"Jan 11, 2021","3,803.14","3,817.86","3,789.02","3,799.61","3,799.61","4,465,430,000"
116,"Jan 08, 2021","3,815.05","3,826.69","3,783.60","3,824.68","3,824.68","4,773,040,000"
117,"Jan 07, 2021","3,764.71","3,811.55","3,764.71","3,803.79","3,803.79","5,099,160,000"
118,"Jan 06, 2021","3,712.20","3,783.04","3,705.34","3,748.14","3,748.14","6,064,110,000"
119,"Jan 05, 2021","3,698.02","3,737.83","3,695.07","3,726.86","3,726.86","4,591,020,000"
120,"Jan 04, 2021","3,764.61","3,769.99","3,662.71","3,700.65","3,700.65","5,015,000,000"
121,"Dec 31, 2020","3,733.27","3,760.20","3,726.88","3,756.07","3,756.07","3,179,040,000"
122,"Dec 30, 2020","3,736.19","3,744.63","3,730.21","3,732.04","3,732.04","3,154,850,000"
123,"Dec 29, 2020","3,750.01","3,756.12","3,723.31","3,727.04","3,727.04","3,393,290,000"
124,"Dec 28, 2020","3,723.03","3,740.51","3,723.03","3,735.36","3,735.36","3,535,460,000"
125,"Dec 24, 2020","3,694.03","3,703.82","3,689.32","3,703.06","3,703.06","1,883,780,000"
126,"Dec 23, 2020","3,693.42","3,711.24","3,689.28","3,690.01","3,690.01","3,779,160,000"
127,"Dec 22, 2020","3,698.08","3,698.26","3,676.16","3,687.26","3,687.26","4,053,310,000"
128,"Dec 21, 2020","3,684.28","3,702.90","3,636.48","3,694.92","3,694.92","4,748,580,000"
129,"Dec 18, 2020","3,722.39","3,726.70","3,685.84","3,709.41","3,709.41","7,097,100,000"
130,"Dec 17, 2020","3,713.65","3,725.12","3,710.87","3,722.48","3,722.48","4,192,810,000"
131,"Dec 16, 2020","3,696.25","3,711.27","3,688.57","3,701.17","3,701.17","4,067,040,000"
132,"Dec 15, 2020","3,666.41","3,695.29","3,659.62","3,694.62","3,694.62","4,387,080,000"
133,"Dec 14, 2020","3,675.27","3,697.61","3,645.84","3,647.49","3,647.49","4,623,850,000"
134,"Dec 11, 2020","3,656.08","3,665.91","3,633.40","3,663.46","3,663.46","4,375,470,000"
135,"Dec 10, 2020","3,659.13","3,678.49","3,645.18","3,668.10","3,668.10","4,658,480,000"
136,"Dec 09, 2020","3,705.98","3,712.39","3,660.54","3,672.82","3,672.82","5,232,800,000"
137,"Dec 08, 2020","3,683.05","3,708.45","3,678.83","3,702.25","3,702.25","4,584,390,000"
138,"Dec 07, 2020","3,694.73","3,697.41","3,678.88","3,691.96","3,691.96","4,804,500,000"
139,"Dec 04, 2020","3,670.94","3,699.20","3,670.94","3,699.12","3,699.12","5,099,620,000"
140,"Dec 03, 2020","3,668.28","3,682.73","3,657.17","3,666.72","3,666.72","5,065,340,000"
141,"Dec 02, 2020","3,653.78","3,670.96","3,644.84","3,669.01","3,669.01","5,041,250,000"
142,"Dec 01, 2020","3,645.87","3,678.45","3,645.87","3,662.45","3,662.45","5,418,480,000"
143,"Nov 30, 2020","3,634.18","3,634.18","3,594.39","3,621.63","3,621.63","6,308,410,000"
144,"Nov 27, 2020","3,638.55","3,644.31","3,629.33","3,638.35","3,638.35","2,778,390,000"
145,"Nov 25, 2020","3,635.50","3,635.50","3,617.76","3,629.65","3,629.65","4,910,440,000"
146,"Nov 24, 2020","3,594.52","3,642.31","3,594.52","3,635.41","3,635.41","6,280,290,000"
147,"Nov 23, 2020","3,566.82","3,589.81","3,552.77","3,577.59","3,577.59","5,057,550,000"
148,"Nov 20, 2020","3,579.31","3,581.23","3,556.85","3,557.54","3,557.54","4,236,370,000"
149,"Nov 19, 2020","3,559.41","3,585.22","3,543.84","3,581.87","3,581.87","4,363,370,000"
150,"Nov 18, 2020","3,612.09","3,619.09","3,567.33","3,567.79","3,567.79","5,284,810,000"
151,"Nov 17, 2020","3,610.31","3,623.11","3,588.68","3,609.53","3,609.53","4,812,180,000"
152,"Nov 16, 2020","3,600.16","3,628.51","3,600.16","3,626.91","3,626.91","5,295,510,000"
153,"Nov 13, 2020","3,552.57","3,593.66","3,552.57","3,585.15","3,585.15","4,719,580,000"
154,"Nov 12, 2020","3,562.67","3,569.02","3,518.58","3,537.01","3,537.01","4,909,660,000"
155,"Nov 11, 2020","3,563.22","3,581.16","3,557.00","3,572.66","3,572.66","4,635,560,000"
156,"Nov 10, 2020","3,543.26","3,557.22","3,511.91","3,545.53","3,545.53","6,037,470,000"
157,"Nov 09, 2020","3,583.04","3,645.99","3,547.48","3,550.50","3,550.50","8,570,510,000"
158,"Nov 06, 2020","3,508.34","3,521.58","3,484.34","3,509.44","3,509.44","4,842,460,000"
159,"Nov 05, 2020","3,485.74","3,529.05","3,485.74","3,510.45","3,510.45","4,858,150,000"
160,"Nov 04, 2020","3,406.46","3,486.25","3,405.17","3,443.44","3,443.44","4,790,400,000"
161,"Nov 03, 2020","3,336.25","3,389.49","3,336.25","3,369.16","3,369.16","4,241,380,000"
162,"Nov 02, 2020","3,296.20","3,330.14","3,279.74","3,310.24","3,310.24","4,314,690,000"
163,"Oct 30, 2020","3,293.59","3,304.93","3,233.94","3,269.96","3,269.96","4,843,930,000"
164,"Oct 29, 2020","3,277.17","3,341.05","3,259.82","3,310.11","3,310.11","4,911,860,000"
165,"Oct 28, 2020","3,342.48","3,342.48","3,268.89","3,271.03","3,271.03","5,139,970,000"
166,"Oct 27, 2020","3,403.15","3,409.51","3,388.71","3,390.68","3,390.68","3,962,400,000"
167,"Oct 26, 2020","3,441.42","3,441.42","3,364.86","3,400.97","3,400.97","4,002,210,000"
168,"Oct 23, 2020","3,464.90","3,466.46","3,440.45","3,465.39","3,465.39","3,651,600,000"
169,"Oct 22, 2020","3,438.50","3,460.53","3,415.34","3,453.49","3,453.49","4,172,060,000"
170,"Oct 21, 2020","3,439.91","3,464.86","3,433.06","3,435.56","3,435.56","4,103,960,000"
171,"Oct 20, 2020","3,439.38","3,476.93","3,435.65","3,443.12","3,443.12","3,917,850,000"
172,"Oct 19, 2020","3,493.66","3,502.42","3,419.93","3,426.92","3,426.92","4,091,080,000"
173,"Oct 16, 2020","3,493.50","3,515.76","3,480.45","3,483.81","3,483.81","4,688,030,000"
174,"Oct 15, 2020","3,453.72","3,489.08","3,440.89","3,483.34","3,483.34","3,724,550,000"
175,"Oct 14, 2020","3,515.47","3,527.94","3,480.55","3,488.67","3,488.67","3,858,510,000"
176,"Oct 13, 2020","3,534.01","3,534.01","3,500.86","3,511.93","3,511.93","3,611,100,000"
177,"Oct 12, 2020","3,500.02","3,549.85","3,499.61","3,534.22","3,534.22","3,435,760,000"
178,"Oct 09, 2020","3,459.67","3,482.34","3,458.07","3,477.14","3,477.14","3,944,090,000"
179,"Oct 08, 2020","3,434.28","3,447.28","3,428.15","3,446.83","3,446.83","3,867,640,000"
180,"Oct 07, 2020","3,384.56","3,426.26","3,384.56","3,419.44","3,419.44","3,814,750,000"
181,"Oct 06, 2020","3,408.74","3,431.56","3,354.54","3,360.97","3,360.97","4,453,390,000"
182,"Oct 05, 2020","3,367.27","3,409.57","3,367.27","3,408.60","3,408.60","3,692,720,000"
183,"Oct 02, 2020","3,338.94","3,369.10","3,323.69","3,348.42","3,348.42","3,975,180,000"
184,"Oct 01, 2020","3,385.87","3,397.18","3,361.39","3,380.80","3,380.80","4,076,340,000"
185,"Sep 30, 2020","3,341.21","3,393.56","3,340.47","3,363.00","3,363.00","4,738,640,000"
186,"Sep 29, 2020","3,350.92","3,357.92","3,327.54","3,335.47","3,335.47","3,661,590,000"
187,"Sep 28, 2020","3,333.90","3,360.74","3,332.91","3,351.60","3,351.60","3,950,910,000"
188,"Sep 25, 2020","3,236.66","3,306.88","3,228.44","3,298.46","3,298.46","3,803,330,000"
189,"Sep 24, 2020","3,226.14","3,278.70","3,209.45","3,246.59","3,246.59","4,601,920,000"
190,"Sep 23, 2020","3,320.11","3,323.35","3,232.57","3,236.92","3,236.92","4,378,650,000"
191,"Sep 22, 2020","3,295.75","3,320.31","3,270.95","3,315.57","3,315.57","3,974,510,000"
192,"Sep 21, 2020","3,285.57","3,285.57","3,229.10","3,281.06","3,281.06","4,836,070,000"
193,"Sep 18, 2020","3,357.38","3,362.27","3,292.40","3,319.47","3,319.47","7,076,400,000"
194,"Sep 17, 2020","3,346.86","3,375.17","3,328.82","3,357.01","3,357.01","4,379,840,000"
195,"Sep 16, 2020","3,411.23","3,428.92","3,384.45","3,385.49","3,385.49","4,718,900,000"
196,"Sep 15, 2020","3,407.73","3,419.48","3,389.25","3,401.20","3,401.20","4,057,190,000"
197,"Sep 14, 2020","3,363.56","3,402.93","3,363.56","3,383.54","3,383.54","3,839,580,000"
198,"Sep 11, 2020","3,352.70","3,368.95","3,310.47","3,340.97","3,340.97","3,710,090,000"
199,"Sep 10, 2020","3,412.56","3,425.55","3,329.25","3,339.19","3,339.19","4,208,630,000"
200,"Sep 09, 2020","3,369.82","3,424.77","3,366.84","3,398.96","3,398.96","3,932,520,000"
201,"Sep 08, 2020","3,371.88","3,379.97","3,329.27","3,331.84","3,331.84","4,694,330,000"
202,"Sep 04, 2020","3,453.60","3,479.15","3,349.63","3,426.96","3,426.96","4,438,720,000"
203,"Sep 03, 2020","3,564.74","3,564.85","3,427.41","3,455.06","3,455.06","4,911,830,000"
204,"Sep 02, 2020","3,543.76","3,588.11","3,535.23","3,580.84","3,580.84","4,295,640,000"
205,"Sep 01, 2020","3,507.44","3,528.03","3,494.60","3,526.65","3,526.65","4,101,490,000"
206,"Aug 31, 2020","3,509.73","3,514.77","3,493.25","3,500.31","3,500.31","4,348,280,000"
207,"Aug 28, 2020","3,494.69","3,509.23","3,484.32","3,508.01","3,508.01","3,868,510,000"
208,"Aug 27, 2020","3,485.14","3,501.38","3,468.35","3,484.55","3,484.55","3,955,890,000"
209,"Aug 26, 2020","3,449.97","3,481.07","3,444.15","3,478.73","3,478.73","3,780,530,000"
210,"Aug 25, 2020","3,435.95","3,444.21","3,425.84","3,443.62","3,443.62","3,627,650,000"
211,"Aug 24, 2020","3,418.09","3,432.09","3,413.13","3,431.28","3,431.28","3,743,410,000"
212,"Aug 21, 2020","3,386.01","3,399.96","3,379.31","3,397.16","3,397.16","3,505,010,000"
213,"Aug 20, 2020","3,360.48","3,390.80","3,354.69","3,385.51","3,385.51","3,431,040,000"
214,"Aug 19, 2020","3,392.51","3,399.54","3,369.66","3,374.85","3,374.85","3,679,480,000"
215,"Aug 18, 2020","3,387.04","3,395.06","3,370.15","3,389.78","3,389.78","3,669,550,000"
216,"Aug 17, 2020","3,380.86","3,387.59","3,379.22","3,381.99","3,381.99","3,460,330,000"
217,"Aug 14, 2020","3,368.66","3,378.51","3,361.64","3,372.85","3,372.85","3,200,060,000"
218,"Aug 13, 2020","3,372.95","3,387.24","3,363.35","3,373.43","3,373.43","3,438,730,000"
219,"Aug 12, 2020","3,355.46","3,387.89","3,355.46","3,380.35","3,380.35","3,772,250,000"
220,"Aug 11, 2020","3,370.34","3,381.01","3,326.44","3,333.69","3,333.69","4,880,540,000"
221,"Aug 10, 2020","3,356.04","3,363.29","3,335.44","3,360.47","3,360.47","4,327,920,000"
222,"Aug 07, 2020","3,340.05","3,352.54","3,328.72","3,351.28","3,351.28","4,110,030,000"
223,"Aug 06, 2020","3,323.17","3,351.03","3,318.14","3,349.16","3,349.16","4,278,930,000"
224,"Aug 05, 2020","3,317.37","3,330.77","3,317.37","3,327.77","3,327.77","4,535,060,000"
225,"Aug 04, 2020","3,289.92","3,306.84","3,286.37","3,306.51","3,306.51","4,414,380,000"
226,"Aug 03, 2020","3,288.26","3,302.73","3,284.53","3,294.61","3,294.61","4,438,940,000"
227,"Jul 31, 2020","3,270.45","3,272.17","3,220.26","3,271.12","3,271.12","5,007,530,000"
228,"Jul 30, 2020","3,231.76","3,250.92","3,204.13","3,246.22","3,246.22","4,264,920,000"
229,"Jul 29, 2020","3,227.22","3,264.74","3,227.22","3,258.44","3,258.44","4,478,200,000"
230,"Jul 28, 2020","3,234.27","3,243.72","3,216.17","3,218.44","3,218.44","4,053,180,000"
231,"Jul 27, 2020","3,219.84","3,241.43","3,214.25","3,239.41","3,239.41","3,970,310,000"
232,"Jul 24, 2020","3,218.58","3,227.26","3,200.05","3,215.63","3,215.63","3,689,410,000"
233,"Jul 23, 2020","3,271.64","3,279.99","3,222.66","3,235.66","3,235.66","4,296,760,000"
234,"Jul 22, 2020","3,254.86","3,279.32","3,253.10","3,276.02","3,276.02","4,267,160,000"
235,"Jul 21, 2020","3,268.52","3,277.29","3,247.77","3,257.30","3,257.30","4,556,610,000"
236,"Jul 20, 2020","3,224.29","3,258.61","3,215.16","3,251.84","3,251.84","3,979,340,000"
237,"Jul 17, 2020","3,224.21","3,233.52","3,205.65","3,224.73","3,224.73","4,012,850,000"
238,"Jul 16, 2020","3,208.36","3,220.39","3,198.59","3,215.57","3,215.57","3,972,860,000"
239,"Jul 15, 2020","3,225.98","3,238.28","3,200.76","3,226.56","3,226.56","4,686,830,000"
240,"Jul 14, 2020","3,141.11","3,200.95","3,127.66","3,197.52","3,197.52","4,507,140,000"
241,"Jul 13, 2020","3,205.08","3,235.32","3,149.43","3,155.22","3,155.22","4,902,440,000"
242,"Jul 10, 2020","3,152.47","3,186.82","3,136.22","3,185.04","3,185.04","4,524,190,000"
243,"Jul 09, 2020","3,176.17","3,179.78","3,115.70","3,152.05","3,152.05","4,843,650,000"
244,"Jul 08, 2020","3,153.07","3,171.80","3,136.53","3,169.94","3,169.94","4,937,310,000"
245,"Jul 07, 2020","3,166.44","3,184.15","3,142.93","3,145.32","3,145.32","4,571,330,000"
246,"Jul 06, 2020","3,155.29","3,182.59","3,155.29","3,179.72","3,179.72","4,759,160,000"
247,"Jul 02, 2020","3,143.64","3,165.81","3,124.52","3,130.01","3,130.01","4,197,720,000"
248,"Jul 01, 2020","3,105.92","3,128.44","3,101.17","3,115.86","3,115.86","4,449,230,000"
249,"Jun 30, 2020","3,050.20","3,111.51","3,047.83","3,100.29","3,100.29","4,705,850,000"
250,"Jun 29, 2020","3,018.59","3,053.89","2,999.74","3,053.24","3,053.24","4,473,970,000"
251,"Jun 26, 2020","3,073.20","3,073.73","3,004.63","3,009.05","3,009.05","8,107,850,000"
252,"Jun 25, 2020","3,046.60","3,086.25","3,024.01","3,083.76","3,083.76","4,847,690,000"
253,"Jun 24, 2020","3,114.40","3,115.01","3,032.13","3,050.33","3,050.33","5,597,680,000"
254,"Jun 23, 2020","3,138.70","3,154.90","3,127.12","3,131.29","3,131.29","4,711,850,000"
255,"Jun 22, 2020","3,094.42","3,120.92","3,079.39","3,117.86","3,117.86","4,686,690,000"
256,"Jun 19, 2020","3,140.29","3,155.53","3,083.11","3,097.74","3,097.74","8,346,650,000"
257,"Jun 18, 2020","3,101.64","3,120.00","3,093.51","3,115.34","3,115.34","4,448,690,000"
258,"Jun 17, 2020","3,136.13","3,141.16","3,108.03","3,113.49","3,113.49","4,560,450,000"
259,"Jun 16, 2020","3,131.00","3,153.45","3,076.06","3,124.74","3,124.74","5,845,810,000"
260,"Jun 15, 2020","2,993.76","3,079.76","2,965.66","3,066.59","3,066.59","5,757,480,000"
261,"Jun 12, 2020","3,071.04","3,088.42","2,984.47","3,041.31","3,041.31","5,845,330,000"
262,"Jun 11, 2020","3,123.53","3,123.53","2,999.49","3,002.10","3,002.10","7,037,320,000"
263,"Jun 10, 2020","3,213.42","3,223.27","3,181.49","3,190.14","3,190.14","6,598,870,000"
264,"Jun 09, 2020","3,213.32","3,222.71","3,193.11","3,207.18","3,207.18","6,410,930,000"
265,"Jun 08, 2020","3,199.92","3,233.13","3,196.00","3,232.39","3,232.39","8,498,300,000"
266,"Jun 05, 2020","3,163.84","3,211.72","3,163.84","3,193.93","3,193.93","8,639,300,000"
267,"Jun 04, 2020","3,111.56","3,128.91","3,090.41","3,112.35","3,112.35","6,451,290,000"
